,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
640,uw_2022_dim.hamming8-2.clq.wcnf,441,0.0,443,0.0,441,0.0,441,0.0,441,0.0,443,0.0,441.0,0.41,441,1.0,441,0.0,441,0.0
641,uw_2022_unw.SingleDay_37.wcnf,82777,29.9,82777,13.18,82391,37.97,82397,54.22,82777,17.15,82777,12.8,83345.0,40.92,82631,24.0,82391,31.4,82397,51.59
642,uw_2022_ran-scp.scp510_maxsat.wcnf,36,0.42,35,206.89,35,0.32,34,50.41,37,84.2,36,29.16,49.0,0.14,56,40.0,34,68.43,34,60.52
643,uw_2022_ran-scp.scp48_maxsat.wcnf,39,39.49,138,0.0,37,36.91,37,39.84,41,66.46,138,0.0,47.0,0.04,59,17.0,37,22.12,37,37.84
644,uw_2022_extension-enforcement_non-strict_stb_200_0.05_1_10_0.wcnf,8,10.69,7,60.94,9,256.8,8,233.8,8,181.01,7,70.36,39.0,4.5,13,6.0,9,167.07,8,212.55
645,uw_2022_GenHyperTW_flat30-99.wcnf,69,7.39,22,63.74,47,179.24,23,132.67,None,300,None,300,33.0,213.42,30,282.0,20,132.61,23,58.7
646,uw_2022_ms_200_22_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,77,111.0,None,300,None,300
647,uw_2022_rev66-20.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,13.0,172.2,13,78.0,None,300,None,300
648,uw_2022_lam.20-100-p100-55.wcnf,77,16.93,77,35.57,81,210.22,83,72.41,79,4.74,77,229.08,75.0,213.06,76,116.0,82,78.31,83,87.44
649,uw_2022_wcn.ionosphere_train_8_DNF_5_1.wcnf,24,0.56,24,0.22,23,4.31,23,92.18,24,0.27,24,0.25,25.0,6.51,26,7.0,23,21.23,23,88.22
650,uw_2022_soy.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,116,15.81,116,7.1,79,26.21,74,108.98,None,300,None,300,8.0,82.47,6,296.0,44,272.17,74,111.38
651,uw_2022_lam.20-100-frag12-79.wcnf,49,11.91,46,89.89,49,121.96,49,94.12,48,76.87,49,47.68,45.0,15.83,43,45.0,50,18.87,50,14.31
652,uw_2022_bip.maxcut-140-630-0.7-44.wcnf,163,0.0,288,0.0,163,0.02,163,0.08,163,0.01,279,0.0,172.0,64.9,207,188.0,163,0.05,163,0.07
653,uw_2022_ms_200_6_20-0.wcnf,None,300,190,258.32,None,300,None,300,None,300,None,300,141.0,288.67,141,59.0,None,300,None,300
654,uw_2022_car.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,908,7.43,908,4.97,322,9.64,242,36.75,None,300,None,300,55.0,269.43,61,213.0,242,86.79,242,40.51
655,uw_2022_lam.20-100-lambda100-95.wcnf,77,17.7,76,220.55,78,261.32,78,14.16,77,102.59,77,13.53,76.0,2.07,76,27.0,77,32.36,77,150.19
656,uw_2022_ms_200_20_20-8.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,107,286.0,None,300,None,300
657,uw_2022_ecoli.wcnf,1388,2.42,1388,2.03,649,228.97,651,166.36,None,300,None,300,545.0,142.07,635,251.0,619,4.23,668,10.62
658,uw_2022_mus.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,1521,54.94,1521,52.83,None,300,749,179.62,None,300,None,300,149.0,298.99,57,231.0,749,177.72,749,212.1
659,uw_2022_mul_8_14.wcnf,60,10.12,56,144.27,56,88.3,56,150.48,62,12.7,56,8.24,110.0,2.33,108,6.0,56,172.38,56,125.69
660,uw_2022_navigation_5x5_8.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
661,uw_2022_uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr7-plb100.wcnf,68,20.06,67,0.84,67,2.35,67,22.22,67,36.46,67,1.62,70.0,159.33,68,14.0,67,7.11,67,7.8
662,uw_2022_ms_200_22_20-3.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,82,167.0,None,300,None,300
663,uw_2022_normalized-test4.pi.opb.msat.wcnf,96,2.64,94,159.76,97,51.4,99,25.39,116,116.93,112,89.72,144.0,1.69,156,144.0,97,63.23,99,30.12
664,uw_2022_ran-scp.scpnrh1_maxsat.wcnf,39,14.37,38,219.04,40,246.37,40,49.97,42,20.51,42,14.83,62.0,30.59,55,158.0,40,46.24,40,50.55
665,uw_2022_sug.atcoss_sugar_15.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,40.0,179.22,None,300,None,300,None,300
666,uw_2022_GenHyperTW_aim-50-1_6-no-3.wcnf,12,43.6,12,2.66,11,64.06,11,2.8,11,85.28,11,83.31,14.0,279.45,13,94.0,10,106.04,10,105.89
667,uw_2022_gen_mult_4_6_991.wcnf,137,12.38,137,5.26,137,92.77,139,56.9,163,3.11,154,2.77,175.0,32.76,185,1.0,139,80.91,139,54.73
668,uw_2022_str.p_hat1000-1.clq.wcnf,990,1.42,994,0.37,990,0.69,990,0.43,990,5.29,994,0.27,990.0,20.72,991,73.0,990,0.3,990,0.33
669,uw_2022_dim.hamming10-4.clq.wcnf,319,0.0,350,0.0,319,0.0,319,0.0,319,0.0,359,0.0,319.0,3.35,323,73.0,319,0.0,319,0.0
670,uw_2022_max.uaq-max-nr-nr70-np400-rpp5-nc50-n8-t3-plb10-n7.wcnf,80,11.47,62,184.69,70,112.59,64,289.79,69,235.53,62,85.86,61.0,74.64,61,8.0,67,280.52,69,150.99
671,uw_2022_gen_mult_4_7_991.wcnf,143,49.19,139,158.39,149,160.36,146,291.22,176,165.08,168,272.66,188.0,33.01,194,3.0,143,274.32,146,258.3
672,uw_2022_dim.brock400_4.clq.wcnf,249,0.0,318,0.0,249,57.03,249,0.0,249,0.0,290,0.0,257.0,1.08,251,59.0,249,0.0,249,0.0
673,uw_2022_mes.atcoss_mesat_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,16.0,90.01,16,196.0,None,300,None,300
674,uw_2022_cellda_x_12.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
675,uw_2022_GenHyperTW_flat30-50.wcnf,65,9.01,20,96.08,19,201.9,20,195.65,22,210.88,22,172.07,36.0,275.55,33,119.0,20,23.71,22,131.42
676,uw_2022_data.135.wcnf,104,0.0,111,0.0,103,15.9,103,229.07,103,33.46,111,0.0,104.0,1.6,104,53.0,103,16.07,103,240.18
677,uw_2022_bip.maxcut-140-630-0.8-24.wcnf,165,0.01,263,0.0,165,0.0,165,0.01,165,0.0,283,0.0,178.0,2.27,201,157.0,165,0.03,165,0.01
678,uw_2022_cellda_y_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
679,uw_2022_bip.maxcut-140-630-0.7-37.wcnf,170,37.65,272,0.0,170,0.0,170,0.25,170,0.67,274,0.0,180.0,44.86,200,53.0,170,0.0,170,0.25
680,uw_2022_ran-scp.scp43_maxsat.wcnf,41,0.07,140,0.0,38,0.08,38,0.22,41,45.46,140,0.0,43.0,2.25,55,291.0,38,0.24,38,0.2
681,uw_2022_ann.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,152,2.31,152,1.71,120,5.53,120,2.41,None,300,None,300,83.0,157.84,94,68.0,120,2.47,120,2.34
682,uw_2022_bip.maxcut-140-630-0.7-42.wcnf,161,35.26,245,0.0,161,0.01,161,0.0,161,0.0,284,0.0,173.0,52.8,190,111.0,161,0.01,161,0.0
683,uw_2022_sysadmin_5_3.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,4.0,117.86,6,163.0,None,300,None,300
684,uw_2022_sbox_8.wcnf,810,225.89,527,227.34,454,232.11,446,197.82,527,295.5,519,282.71,615.0,298.29,809,225.0,455,202.27,446,215.7
685,uw_2022_car.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,392,0.44,392,0.36,302,69.97,242,46.94,None,300,None,300,143.0,108.86,143,74.0,193,19.38,242,43.17
686,uw_2022_gen_mult_5_5_399.wcnf,2312,14.86,2300,218.34,2295,29.75,2292,200.79,2344,193.18,2311,71.69,2545.0,32.73,2834,49.0,2298,111.5,2292,175.7
687,uw_2022_MinFill_R0_mulsol.i.5.wcnf,4975,16.1,291,143.13,283,223.49,722,161.78,315,81.54,295,298.07,10495.0,25.93,242,201.0,891,175.29,724,193.32
688,uw_2022_hyp.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,249,8.31,249,6.38,102,48.4,102,14.28,None,300,None,300,46.0,196.56,46,208.0,102,15.58,102,12.73
689,uw_2022_sug.atcoss_sugar_10.wcnf,None,300,110,126.47,None,300,90,163.91,None,300,None,300,16.0,74.97,16,19.0,98,70.13,90,289.02
690,uw_2022_AMAZON.wcnf,70752,5.05,70752,2.93,48826,205.44,48904,159.43,None,300,None,300,72958.0,75.37,63979,24.0,48864,147.38,48904,156.76
691,uw_2022_str.p_hat700-3.clq.wcnf,639,0.1,670,0.04,638,2.52,638,0.78,638,0.21,670,0.05,641.0,1.28,650,207.0,638,0.35,638,0.62
692,uw_2022_wcn.tictactoe_train_7_DNF_4_1.wcnf,166,41.19,146,115.52,146,0.98,146,12.99,150,93.7,146,144.7,158.0,22.16,165,264.0,146,5.73,146,12.95
693,uw_2022_mul_8_11.wcnf,64,10.04,70,10.31,64,144.17,64,213.81,64,14.58,66,9.53,159.0,2.44,136,6.0,64,70.94,64,192.36
694,uw_2022_ms_200_10_40-0.wcnf,None,300,197,297.18,None,300,None,300,None,300,None,300,90.0,299.96,88,78.0,None,300,None,300
695,uw_2022_data.729.wcnf,647,16.75,665,0.08,617,28.89,617,2.91,643,272.75,665,0.08,648.0,55.09,654,10.0,617,14.41,617,2.98
696,uw_2022_mul_8_9.wcnf,42,5.44,42,5.13,42,32.45,42,30.35,45,41.65,42,4.24,81.0,0.82,80,3.0,42,61.4,42,33.29
697,uw_2022_GenHyperTW_s208.wcnf,17,57.89,12,54.22,27,243.45,11,165.94,14,62.83,14,57.5,9.0,250.51,11,252.0,12,18.16,11,236.89
698,uw_2022_cleveland.wcnf,1408,2.14,1408,1.94,519,149.95,535,197.78,None,300,None,300,576.0,247.23,519,269.0,520,211.9,564,23.7
699,uw_2022_unw.SingleDay_15.wcnf,26320,1.98,25462,288.59,25863,80.84,25492,219.05,25495,103.67,25462,109.37,26016.0,32.64,26131,4.0,25502,252.58,25507,210.09
700,uw_2022_navigation_5x5_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
701,uw_2022_DBLP.wcnf,80565,5.2,80565,3.77,61727,189.14,52945,271.54,80565,4.98,80565,3.93,68066.0,46.43,66289,11.0,52865,223.16,56092,250.72
702,uw_2022_GenHyperTW_hole9.wcnf,11,37.29,10,42.09,10,128.1,12,28.85,10,95.0,10,126.23,40.0,245.22,42,276.0,10,38.04,12,25.85
703,uw_2022_ran-scp.scp65_maxsat.wcnf,23,31.49,90,0.0,21,1.96,21,1.5,24,22.76,90,0.0,30.0,0.3,30,133.0,21,6.57,21,1.58
704,uw_2022_ms_100_20_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,65,140.0,None,300,None,300
705,uw_2022_unw.Subnetwork_7.wcnf,6394,9.64,6395,226.92,6394,13.0,6393,14.73,6395,205.54,6393,176.02,6430.0,299.84,6722,11.0,6393,15.28,6393,14.37
706,uw_2022_unw.MultiDay_4.wcnf,196301,15.1,196300,9.04,187823,11.28,187967,13.33,196301,9.94,196300,8.01,195470.0,40.59,195678,17.0,187963,13.15,187967,11.8
707,uw_2022_MinFill_R4_miles500.wcnf,2754,4.22,2754,2.48,1007,17.95,1125,3.85,None,300,None,300,426.0,219.89,496,158.0,1054,266.72,1125,2.8
708,uw_2022_extension-enforcement_non-strict_stb_150_0.1_2_8_2.wcnf,9,39.76,8,2.17,9,36.26,8,68.99,8,90.86,8,25.51,10.0,75.21,9,173.0,8,34.57,8,62.11
709,uw_2022_Q12_OPTIONS_1.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,21.0,267.58,11,112.0,None,300,None,300
710,uw_2022_TWComp_queen5_5_N25.wcnf,18,1.41,18,0.4,18,16.94,18,0.06,18,0.44,18,0.43,18.0,33.89,18,1.0,18,0.05,18,0.07
711,uw_2022_GenHyperTW_aim-50-3_4-yes1-3.wcnf,15,16.07,15,34.27,14,200.46,15,24.37,15,8.07,15,7.21,18.0,102.64,19,92.0,14,7.52,15,23.64
712,uw_2022_lam.20-100-frag12-0.wcnf,44,25.19,43,120.43,45,86.87,46,63.8,45,225.3,43,97.64,41.0,123.86,42,25.0,46,30.47,46,97.33
713,uw_2022_ram_k3_n19.ra0.wcnf,75,0.01,182,0.01,75,0.64,75,0.78,75,0.07,145,0.01,80.0,154.24,96,3.0,75,3.86,75,0.82
714,uw_2022_extension-enforcement_non-strict_stb_200_0.05_4_10_4.wcnf,9,2.26,7,160.43,7,109.28,8,105.16,8,71.47,8,18.84,10.0,206.66,10,122.0,8,56.56,8,97.77
715,uw_2022_MLI.twitter_train_1_CNF_4_1.wcnf,1991,59.08,1700,124.82,1885,24.79,1906,23.33,1673,205.56,1705,226.71,29894.0,37.71,13144,177.0,1937,26.48,1906,24.77
716,uw_2022_unw.MultiDay_2.wcnf,125680,6.47,125680,3.37,118502,4.56,116423,263.18,125680,4.03,125647,3.34,124282.0,33.53,124882,8.0,116465,282.17,116423,252.7
717,uw_2022_data.405.wcnf,341,1.57,357,0.02,337,5.98,336,3.97,341,286.16,357,0.02,346.0,0.98,347,273.0,336,19.03,336,3.92
718,uw_2022_ram_k4_n18.ra0.wcnf,9,44.03,30,0.01,9,0.02,9,0.08,9,0.02,38,0.01,10.0,297.87,11,16.0,9,0.01,9,0.07
719,uw_2022_ran-scp.scp58_maxsat.wcnf,36,30.08,35,28.58,34,143.87,34,2.4,37,278.45,36,180.34,49.0,0.14,60,21.0,34,1.91,34,2.24
720,uw_2022_sysadmin_4_4.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,5.0,222.34,4,209.0,None,300,None,300
721,uw_2022_gen_mult_5_5_991.wcnf,233,8.8,231,245.86,232,95.02,233,47.34,262,74.93,244,2.28,280.0,9.3,273,3.0,233,158.66,233,45.68
722,uw_2022_GenHyperTW_uf20-050.wcnf,6,22.81,6,100.77,6,7.45,6,0.52,6,4.5,6,4.28,7.0,56.06,7,1.0,6,0.99,6,0.53
723,uw_2022_d4.wcnf,None,300,12244,32.14,6671,217.93,5672,92.84,None,300,None,300,10744.0,88.73,3187,287.0,5877,63.58,5672,93.42
724,uw_2022_uaq-ppr-nr200-nc66-n5-k2-rpp6-ppr10-plb100.wcnf,67,5.97,67,0.12,67,3.65,67,5.82,67,4.89,67,0.26,73.0,6.54,73,92.0,67,24.07,67,46.25
725,uw_2022_sysadmin_5_4.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,5.0,255.8,7,262.0,None,300,None,300
726,uw_2022_GenHyperTW_par8-4-c.wcnf,10,45.97,8,122.16,8,119.32,8,2.84,9,296.88,9,134.24,17.0,102.9,11,178.0,8,3.4,8,2.72
727,uw_2022_lam.20-100-lambda100-59.wcnf,76,14.86,76,29.43,78,183.07,77,64.73,77,1.11,75,69.29,74.0,94.87,74,124.0,77,40.73,77,227.43
728,uw_2022_MinFill_R0_queen7_7.wcnf,514,56.09,503,240.26,514,110.45,506,200.95,506,112.05,510,113.7,504.0,43.34,502,13.0,505,165.12,510,66.24
729,uw_2022_GenHyperTW_hole6.wcnf,7,7.88,7,19.07,7,19.77,7,2.44,7,2.9,7,2.45,14.0,88.89,15,21.0,7,2.18,7,2.2
730,uw_2022_extension-enforcement_non-strict_stb_200_0.1_2_10_1.wcnf,9,2.13,8,1.47,8,32.13,8,3.12,8,4.27,8,1.69,12.0,117.66,8,143.0,10,3.72,8,2.46
731,uw_2022_MinFill_R3_miles750.wcnf,3684,6.09,3684,4.43,2078,156.71,2100,3.53,None,300,None,300,486.0,289.76,543,112.0,1898,69.62,1945,233.87
732,uw_2022_cnf_10.wcnf,241,1.89,117,22.11,124,241.95,122,161.23,144,68.64,129,113.99,60.0,117.29,50,198.0,119,213.01,127,132.66
733,uw_2022_GenHyperTW_b01.wcnf,7,30.92,7,224.2,6,141.96,6,1.48,6,76.37,7,1.6,5.0,81.95,5,2.0,6,71.72,5,27.55
734,uw_2022_lam.20-100-p100-86.wcnf,78,51.87,76,213.32,81,211.05,81,96.03,80,177.8,77,210.11,76.0,9.6,77,52.0,81,143.19,82,20.26
735,uw_2022_ran-scp.scp47_maxsat.wcnf,41,2.82,143,0.0,38,14.34,38,50.61,42,287.88,143,0.0,49.0,0.05,54,22.0,38,7.65,38,56.24
736,uw_2022_bip.maxcut-140-630-0.7-13.wcnf,169,0.06,282,0.0,169,0.01,169,0.0,169,0.0,262,0.0,177.0,7.91,191,24.0,169,0.0,169,0.0
737,uw_2022_unw.SingleDay_3.wcnf,9450,40.22,9453,259.47,9449,31.66,9447,57.72,9455,160.42,9453,252.17,9738.0,7.52,9904,1.0,9448,110.32,9447,56.44
738,uw_2022_gen_add_4_carry_33.wcnf,188,11.11,333,0.09,189,1.84,188,1.75,190,294.81,333,0.09,192.0,186.05,193,42.0,188,1.74,188,1.61
739,uw_2022_unw.MultiDay_3.wcnf,163185,10.92,163185,6.15,155215,11.48,155239,7.04,163184,6.99,163185,5.03,162181.0,38.16,162438,13.0,155200,8.12,155239,7.39
740,uw_2022_rev66-14.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,19.0,3.76,19,15.0,None,300,None,300
741,uw_2022_GreeceWesternGreeceUniversityInstance4.xml.wcnf,195,2.35,195,1.18,157,22.2,151,182.7,None,300,None,300,17.0,242.99,22,299.0,143,143.78,154,93.52
742,uw_2022_lam.20-100-lambda100-53.wcnf,74,8.37,72,272.59,76,194.51,75,176.86,75,178.02,74,1.13,72.0,42.64,72,83.0,76,22.43,76,54.31
743,uw_2022_hea.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,75,1.16,75,1.11,52,64.1,52,2.4,None,300,None,300,31.0,114.28,32,214.0,52,1.46,52,2.65
744,uw_2022_wcn.ionosphere_train_8_CNF_4_1.wcnf,22,0.42,21,29.26,20,14.24,20,14.87,22,205.38,20,39.84,21.0,13.09,22,5.0,20,5.77,20,14.67
745,uw_2022_ran-scp.scp61_maxsat.wcnf,22,1.7,95,0.0,21,29.81,21,0.12,24,73.84,95,0.0,26.0,77.88,31,280.0,21,6.32,21,0.12
746,uw_2022_Q6_YESNO_1.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,2.0,189.75,2,63.0,None,300,None,300
747,uw_2022_rsdecoder-problem.dimacs_41.filtered.wcnf,3,11.32,4,5.66,2,7.91,2,8.21,3,8.52,4,5.63,3.0,123.54,18,285.0,2,7.2,2,7.59
748,uw_2022_MinFill_R0_myciel5.wcnf,197,6.77,196,197.07,200,49.24,198,187.41,196,166.01,196,136.54,196.0,21.29,196,6.0,197,56.75,197,50.41
749,uw_2022_mes.atcoss_mesat_05.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,20.0,202.18,12,103.0,None,300,None,300
750,uw_2022_aus.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,172,2.88,172,2.09,73,13.63,73,4.69,None,300,None,300,60.0,277.59,59,284.0,73,5.34,73,4.27
751,uw_2022_cnf_12.wcnf,129,27.2,106,84.17,123,10.35,115,87.63,119,196.21,120,241.34,67.0,111.47,62,47.0,121,157.03,111,62.72
752,uw_2022_YOUTUBE.wcnf,110555,24.17,110555,16.8,92501,133.51,93900,210.37,110555,23.3,110555,18.04,108190.0,35.54,113618,16.0,92035,148.21,91856,290.58
753,uw_2022_rev66-16.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,17.0,21.74,17,5.0,None,300,None,300
754,uw_2022_cra-scp.scpcyc10_maxsat.wcnf,1911,1.47,1925,1.89,1838,206.73,1836,129.71,1917,206.51,1914,259.68,2183.0,298.51,2304,42.0,1836,28.75,1836,133.83
755,uw_2022_bupa.wcnf,638,6.09,638,4.85,319,51.32,313,32.45,None,300,None,300,304.0,155.9,313,266.0,306,62.2,313,36.23
756,uw_2022_mul_8_13.wcnf,60,56.61,60,9.09,60,153.37,60,190.56,63,14.4,60,12.0,156.0,2.28,160,5.0,60,243.91,60,195.07
757,uw_2022_lam.20-100-p100-97.wcnf,76,53.52,76,132.65,81,67.41,84,24.87,79,3.66,78,64.5,75.0,13.87,75,102.0,82,17.68,83,187.52
758,uw_2022_australian.wcnf,1346,26.73,1346,21.9,538,236.6,544,34.3,None,300,None,300,566.0,291.5,501,132.0,504,137.77,544,33.3
759,uw_2022_GenHyperTW_hole8.wcnf,9,15.56,9,8.13,9,91.99,9,75.0,9,68.97,9,118.87,31.0,251.09,31,69.0,9,78.78,9,70.58
760,uw_2022_wei.MultiDay_1_weighted.wcnf,81519,2.89,81519,1.44,73975,226.68,73953,142.42,81519,1.84,81518,1.38,78915.0,32.36,80623,5.0,73965,133.69,73953,148.77
761,uw_2022_unw.Subnetwork_9.wcnf,7903,13.27,7905,197.46,7903,23.77,7902,42.56,7907,144.9,7904,84.61,8171.0,3.18,8216,17.0,7902,74.78,7902,43.35
762,uw_2022_ran-scp.scp59_maxsat.wcnf,35,59.69,36,0.14,35,28.05,35,2.12,38,0.25,35,167.45,46.0,0.12,55,129.0,35,29.39,35,1.77
763,uw_2022_ran-scp.scpnrf5_maxsat.wcnf,12,4.87,11,54.43,12,18.6,11,253.98,12,19.61,12,10.37,14.0,249.97,15,58.0,12,27.65,11,246.53
764,uw_2022_spectre_min.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
765,uw_2022_lam.20-100-p100-72.wcnf,71,56.35,71,249.84,77,139.63,77,113.46,75,34.58,71,18.87,71.0,11.84,71,148.0,79,188.09,77,171.36
766,uw_2022_ms_100_40_10-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,16,195.0,None,300,None,300
767,uw_2022_ran.max_cut_60_600_9.asc.wcnf,218,0.0,317,0.0,218,0.0,218,0.0,218,0.0,300,0.0,225.0,100.48,223,40.0,218,0.0,218,0.0
768,uw_2022_max.uaq-max-nr-nr160-np400-rpp5-nc50-n8-t3-plb10-n7.wcnf,5,50.84,4,12.9,5,139.21,4,31.01,5,73.97,4,8.35,5.0,25.99,5,46.0,5,89.03,4,40.61
769,uw_2022_ms_250_20_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,75,229.0,None,300,None,300
770,uw_2022_tic.formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,298,0.34,298,0.22,230,14.63,230,0.57,None,300,None,300,181.0,217.51,173,64.0,228,67.06,230,0.55
771,uw_2022_bre-res-str.formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,181,46.05,196,14.87,59,55.38,57,99.3,None,300,None,300,13.0,208.91,24,74.0,59,22.91,57,107.88
772,uw_2022_lam.20-100-frag12-45.wcnf,46,52.26,45,49.81,47,115.68,48,182.9,46,283.27,46,13.85,43.0,102.25,44,22.0,47,194.99,48,123.21
773,uw_2022_MLI.ionosphere_train_1_DNF_4_1.wcnf,24,0.39,23,94.33,23,7.71,23,24.87,24,0.36,24,0.19,24.0,224.96,26,4.0,23,14.82,23,24.67
774,uw_2022_lam.20-100-lambda100-89.wcnf,77,54.71,76,73.75,77,186.45,77,11.33,76,189.55,77,14.27,75.0,20.47,75,37.0,78,8.57,78,10.18
775,uw_2022_cra-scp.scpclr13_maxsat.wcnf,23,41.76,1232,0.12,24,8.81,23,7.83,30,4.75,1232,0.16,35.0,33.0,30,80.0,23,7.0,23,6.89
776,uw_2022_we.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,4598.0,69.81,375,292.0,None,300,None,300
777,uw_2022_ran-scp.scpnrh5_maxsat.wcnf,39,15.94,39,14.13,40,115.94,40,15.28,42,20.17,42,14.25,62.0,30.63,55,178.0,40,126.89,40,16.48
778,uw_2022_MinFill_R0_myciel7.wcnf,11179,35.23,11179,15.15,5027,24.7,5469,258.2,None,300,None,300,4940.0,64.34,7386,298.0,4604,22.33,5571,92.01
779,uw_2022_ran-scp.scpnrg1_maxsat.wcnf,64,15.32,63,269.35,72,50.96,72,176.21,75,4.91,74,4.19,89.0,4.42,109,278.0,72,36.18,72,170.81
780,uw_2022_pesp_18Min.wcnf,3385,7.38,317,286.71,545,242.25,441,68.59,354,32.25,295,292.79,356.0,214.92,805,288.0,336,261.54,441,71.54
781,uw_2022_cellda_x_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
782,uw_2022_pri.formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,74,1.78,61,69.41,54,154.95,54,67.12,62,34.89,54,262.45,38.0,129.83,31,175.0,54,65.68,54,51.33
783,uw_2022_MinFill_R0_queen6_6.wcnf,243,31.98,232,1.87,237,103.42,231,28.53,235,171.54,232,127.63,231.0,2.35,231,293.0,233,29.23,231,94.99
784,uw_2022_rsdecoder1_blackbox_KESblock-problem.dimacs_30.filtered.wcnf,48,51.68,25,64.26,50,185.62,27,277.1,53,127.42,34,58.53,180.0,299.6,3,51.0,13,264.39,51,101.2
785,uw_2022_ms_200_20_12-1.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,46,214.0,None,300,None,300
786,uw_2022_uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr14-plb100.wcnf,68,44.0,68,125.0,68,0.41,68,0.14,68,5.85,68,0.09,71.0,1.74,68,6.0,68,4.41,68,0.1
787,uw_2022_dim.MANN_a9.clq.wcnf,422,0.0,458,0.0,422,0.0,422,0.01,422,0.0,455,0.0,424.0,4.88,424,1.0,422,0.0,422,0.01
788,uw_2022_dim.brock400_3.clq.wcnf,238,0.04,278,0.0,238,0.0,238,0.0,238,0.0,268,0.0,242.0,33.25,239,20.0,238,0.0,238,0.0
789,uw_2022_wcn.toms_test_4_CNF_3_1.wcnf,61,11.35,59,10.4,53,274.88,53,153.48,62,6.51,57,135.4,119.0,259.39,77,70.0,52,81.72,55,197.99
790,uw_2022_cnf_small.wcnf,60,24.11,51,44.56,52,180.73,53,87.56,52,140.78,53,233.2,28.0,5.61,31,19.0,52,180.59,47,118.99
791,uw_2022_sug.atcoss_sugar_05.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,20.0,99.96,13,16.0,None,300,None,300
792,uw_2022_max.uaq-max-np-nr200-np700-rpp5-nc50-n8-t3-plb10-n5.wcnf,9,4.08,6,76.88,6,26.6,6,222.63,7,83.49,5,178.99,6.0,66.85,6,16.0,7,12.61,5,193.14
793,uw_2022_lym.formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,32,55.05,27,153.53,22,161.25,27,48.94,27,24.09,27,22.76,8.0,83.25,12,9.0,27,1.01,27,122.12
794,uw_2022_sug.atcoss_sugar_18.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,12.0,70.39,12,40.0,None,300,None,300
795,uw_2022_wcn.heart_train_6_DNF_3_1.wcnf,53,0.17,78,0.0,42,0.52,42,0.59,42,46.64,76,0.0,43.0,5.52,42,2.0,42,2.37,42,0.57
