,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
450,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N380.wcnf,38068834,11.38,37428359,160.56,37757614,276.02,37866275,247.42,37916549,48.93,38209081,240.77,38160926.0,95.36,37189215,120.0,38293316,107.88,37895625,42.08
451,w_2023_abstraction-refinement_wt-downcast-antlr.wcnf,None,300,76264,275.18,76297,179.76,76320,55.71,76302,200.86,76291,231.3,78858.0,89.23,76254,163.0,76304,159.12,76300,196.59
452,w_2023_shiftdesign_wt-limits-10-10_data-2_inst-025_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,43112218.0,298.99,43083876,245.0,None,300,None,300
453,w_2023_decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4.wcnf,127,16.5,127,10.15,138,7.95,138,1.18,120,284.04,118,147.87,98.0,64.2,144,12.0,138,0.89,138,1.18
454,w_2023_abstraction-refinement_wt-downcast-avrora.wcnf,46721,59.9,46655,81.2,46687,62.0,46688,204.26,46720,115.34,46708,265.93,46642.0,205.9,46644,158.0,46694,66.56,46693,58.67
455,w_2023_generalized-ising_wt-IS9_5.0.5.0.0.5_softer_periodic.wcnf,110136296444103,0.11,110896628050354,157.83,110071479199723,0.87,110066981524169,1.31,110805105241989,197.48,110225756913403,164.16,112746067892687.0,18.65,111584397206496,15.0,110066981524169,0.3,110066981524169,1.27
456,w_2023_ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.7_6.wcnf,252179,27.5,252077,141.96,252128,148.39,252128,155.76,252145,286.37,252060,202.54,263169.0,0.14,259139,4.0,252128,267.92,252128,152.64
457,w_2023_ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.9_6.wcnf,282527,12.03,281490,220.24,281854,34.29,281490,176.6,282424,81.59,281751,44.82,302717.0,0.14,301220,3.0,281957,114.74,281490,167.29
458,w_2023_causal-discovery_wt-causal_carpo_8_1000.wcnf,4937192,0.71,4592132,11.57,2876671,108.1,4312546,5.58,2244087,0.61,2244087,0.49,2462432.0,10.15,756631,16.0,2807752,3.39,4312546,5.45
459,w_2023_causal-discovery_wt-causal_Water_10_1000.wcnf,45193159,6.79,45193159,3.9,45193159,6.06,45193159,6.02,45193159,4.59,45193159,3.81,480099879.0,299.95,11339025,28.0,45193159,5.75,45193159,6.05
460,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein4_UNARY_N250.wcnf,20866280,4.96,19459135,150.61,10042872,95.74,10050596,256.22,18583119,4.06,18583119,3.13,8426158.0,294.96,9609727,43.0,9446804,94.7,10163826,191.13
461,w_2023_abstraction-refinement_wt-downcast-pmd.wcnf,None,300,4235,109.04,4287,137.66,4276,260.07,4289,175.04,4267,186.67,6287.0,97.24,4227,219.0,4281,242.42,4281,104.37
462,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200.wcnf,87892266,59.94,69791907,60.98,73501818,17.48,74921100,4.52,88071744,270.37,82710947,210.92,121502777.0,15.8,87509012,241.0,75201247,5.1,74921100,5.29
463,w_2023_abstraction-refinement_wt-downcast-hsqldb.wcnf,None,300,30232,196.6,30275,185.75,30276,168.82,30359,171.23,30269,194.5,32293.0,106.79,30211,272.0,30270,269.32,30276,136.13
464,w_2023_staff-scheduling_wt-instance6.wcnf,2302,10.42,2170,73.54,2095,80.17,2183,77.26,2312,88.41,2075,271.7,2068.0,219.81,2200,240.0,2190,113.87,2087,79.35
465,w_2023_relational-inference_wt-pa-1.wcnf,3564,57.99,5207,253.63,8501,48.69,8504,54.03,5835,80.0,6186,233.77,820.0,137.38,1132,290.0,8282,24.97,8536,14.92
466,w_2023_generalized-ising_wt-IS16_5.0.5.0.0.5_softer_periodic.wcnf,115550358826232,0.19,115486663720837,183.85,115291051464901,0.14,115258059944605,36.5,115485941072814,210.09,115465517392359,171.82,117201613218194.0,0.95,116091430650568,3.0,115258059944605,2.87,115258059944605,31.7
467,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,32.0,55.27,36,155.0,None,300,None,300
468,w_2023_causal-discovery_wt-causal_Link_10_1000.wcnf,None,300,154915005,59.2,74302008,56.8,54159400,148.29,None,300,None,300,102253200.0,94.38,1917853,15.0,28490847,99.24,46748439,277.83
